count	reward_sum	squared_reward_sum	length
179	-130.66328092117539	10008.19012877481	182
180	-100.533173702363	10002.195888062655	108
181	-100.65282911276708	10002.1941170274	134
182	-99.14897973653126	10002.168793672749	96
183	-100.52287253532722	10002.14312741897	129
184	-100.74626856413327	10002.490550370107	100
185	-100.58837144669214	10002.942842070435	154
186	-100.19351063023022	10002.004762100603	88
187	-100.24130951074885	10002.340468536891	113
188	-99.07570869224297	10002.23325136755	96
189	-99.8072936068048	10002.540908766496	113
190	-102.17307013195766	10002.54491387061	149
191	-98.20738266911121	10002.336271469778	113
192	-99.32154645308474	10002.243088993398	129
193	-98.15546374900363	10003.232600589725	139
194	-99.56653832288765	10002.36223377244	137
195	-99.59248194581642	10002.700042864799	106
196	-102.27401568797228	10002.725706049912	137
197	-97.43266510270512	10002.284126898097	100
198	-102.18893444144764	10002.90118533359	168
199	-97.03092467306806	10003.493327633658	128
200	-95.0779593389735	10003.059914721929	150
201	-97.50087899699726	10002.261773341665	122
202	-97.7677468503364	10003.677512605402	182
203	-99.42195788920253	10002.882447175223	105
204	-96.45818620954074	10003.264166167357	98
205	-96.9721974559473	10003.518587518027	134
206	-94.69811403011875	10003.00329739245	108
207	-101.10697648295611	10002.544054933755	95
208	-96.86708712260801	10001.903566540333	102
209	-98.13752053741447	10002.700019796823	114
210	-97.2156643915802	10003.064068166543	126
211	-95.83465290581645	10003.498248323065	113
212	-98.73855281496984	10002.083928942784	89
213	-96.02648114614786	10001.979698641098	88
214	-96.24011252415482	10002.531949358998	116
215	-92.93269480698463	10003.295900163956	120
216	-94.8028638750115	10003.127444907375	127
217	-92.04587288057994	10004.73143197757	137
218	-98.61937317810585	10001.591136486633	83
219	-90.62362458344366	10004.589901623287	206
220	-94.89242457091285	10003.490341815394	109
221	-89.0168297149963	10004.009407935322	137
222	-102.21439157169793	10004.700280986335	116
223	-91.41764943717087	10004.045894835705	189
224	-91.7565896904771	10005.280674709624	180
225	-94.27995355820697	10002.67673434203	146
226	-104.20059528073145	10008.280593727057	321
227	-94.71076517909997	10003.058219395598	243
228	-91.686388517167	10003.817205880645	162
229	-90.84706396214952	10005.164638078475	153
230	-93.65804803299845	10007.067220696654	218
231	-98.64304198351763	10004.235954746699	164
232	-73.07620757119606	10010.822076419992	504
233	-93.23819839056382	10002.844571529335	134
234	-60.954207950523376	6.129230970883203	2000
235	-94.55777636238162	10002.91988313794	153
236	-84.31293826777252	10013.201655356657	582
237	-91.87179596047328	10003.62546460391	190
238	-45.491970578645734	10025.484615074029	1134
239	-84.50478532900993	10011.809097189715	645
240	-92.8079453272428	10005.303697918935	190
241	-119.81774350061816	10013.309035920056	411
242	-72.56851516477646	10009.16651368922	518
243	-94.97941522843746	10004.596384469596	232
244	-74.52092152713516	10008.193872985374	378
245	-109.86994481612236	10007.30014930494	341
246	-93.06780172868231	10005.036233803687	410
247	-91.65742413321533	10004.118738953775	94
248	-147.807419631553	10018.180562968586	1175
249	-53.56414629160854	10022.418771769784	1106
250	-116.7151045456941	10008.952414843607	271
251	-92.02980080244946	10007.519952197581	455
252	-83.37339253666025	10008.0318923602	444
253	-86.0415037210154	10005.571988286043	285
254	-90.43942180148858	10003.534029199502	192
255	-87.99912120812468	10004.296196464216	163
256	-69.35793472628148	10007.939144069791	343
257	-98.46219639945959	10002.942573356366	219
258	-93.16505880663628	10003.528302911154	176
259	-87.79612733437989	10003.796241479296	218
260	-93.75564965973106	10005.270214062892	176
261	-81.7544470128659	10010.719532987341	389
262	-74.93017087574339	10006.91150639022	285
263	-61.723565067882554	10017.473583743333	504
264	-72.63181938676706	10007.25091904395	400
265	-33.11758808137881	10017.676571327847	785
266	-22.693437233936947	10015.980229716884	798
267	-1.2003848450089407	10025.982547296455	1076
268	-101.15587650322527	10004.376867699535	410
269	-90.27770183207505	10002.942702508055	147
270	-57.16162597418435	10016.139951165958	1063
271	-93.1467707567398	10003.113318891652	401
272	-82.68718664791237	10003.774688947848	218
273	-89.42620012465258	10002.097665944842	149
274	-120.24135955684612	10013.464531134083	1074
275	-88.07663191774579	10002.305206106465	217
276	-84.11552833516131	10003.662632864502	191
277	-11.371781145206128	10024.698648715965	1537
278	-100.83478923243034	10013.738266457263	481
279	-42.29814912724098	10013.636888972866	893
280	-97.45426885908485	10009.705116578312	582
281	-64.37325097656199	10012.720704848996	653
282	-86.68089977822889	10003.736738046544	162
283	-77.27721422135662	10005.07395341058	329
284	-87.57506119364275	10006.259972965941	381
285	-53.862990697738624	10009.025742804843	343
286	-49.05722756581393	10010.497783643055	433
287	-118.61075799369335	10009.856793982915	378
288	-92.29533091593889	10001.982109514569	157
289	-83.74823882119523	10003.43277418577	162
290	-81.9622728865156	10004.67275494437	272
291	-65.20361509870008	10007.469381700586	269
292	-86.91087027276552	10006.18972210169	285
293	-77.94702556253793	10006.201859846458	249
294	-89.01858257450048	10002.41539855622	177
295	-94.80565977019866	10003.996327218923	202
296	-43.466746489253524	10013.163434786547	331
297	-74.07767079470563	10006.674767054328	292
298	-90.35780273101147	10003.531261603483	132
299	-56.674043924505106	10009.234821678512	470
300	-55.61550993713026	10009.920548824199	320
301	-89.99453547154101	10001.972410544002	130
302	-79.5362575603562	10003.334834432362	228
303	-96.97104320364988	10002.010621835712	212
304	-78.70403130340412	10004.623000765501	327
305	-35.72016437060343	10012.47906805846	712
306	-76.66107719564535	10006.197952633689	207
307	-103.58396893101421	10003.375588610746	175
308	-74.5506749595668	10006.180553450033	213
309	-87.57060859059153	10002.714301137506	229
310	-45.01782338416203	10015.563259954593	526
311	-9.37967382529439	10019.821869485748	769
312	-42.12283978315158	10013.10160402985	417
313	-71.84964551413833	10009.122833321057	362
314	-51.033331165317186	10012.399857392737	294
315	-79.83880680977603	10005.177278379826	180
316	-99.5410107536584	10007.57377501144	416
317	28.910107994862727	10030.280473182602	789
318	-59.091216825745406	10012.418003113842	234
319	-82.1732080474989	10006.251457445933	223
320	-87.57566493706143	10005.00435032317	137
321	-83.2699642807496	10007.593943379627	281
322	-80.55918650600802	10005.652209201728	157
323	-32.52250645204441	10017.283145062973	462
324	-123.85489321307858	10014.763925955682	240
325	-24.692757638792216	10018.77157125401	571
326	-93.36893313958316	10002.035035199833	175
327	-96.46768986778048	10003.485080558774	162
328	-57.412226296529354	10012.995537754536	209
329	-48.1389807271775	10013.156683537643	336
330	-111.95168580920695	10013.29227475214	279
331	-36.48149703314111	10015.06232587103	543
332	-17.633645260088386	10022.711187511164	688
333	194.66830195974447	43.242338841045964	1366
334	-122.4418049561336	10010.807811989847	186
335	-10.099419462122	10021.424227536047	551
336	-136.4665122943602	22.378940416421102	2000
337	11.003250575106065	10025.639960324537	771
338	17.568536420768552	10028.327188642035	757
339	-91.40969703846852	10002.611261547383	126
340	-9.846652542181204	10019.22633685192	605
341	-70.6639320018111	10005.536671208243	239
342	-82.12611979601071	10004.271626372738	148
343	-34.80193026991489	10014.79026523293	588
344	-56.16750888118453	10012.318863477227	234
345	-99.88272481601608	10005.263622783948	229
346	-85.89071366983514	10004.278982378659	163
347	-79.69204939648816	24.18494519858708	2000
348	-62.33894889669183	10008.819323048436	296
349	-97.42302837578599	10008.073651239101	189
350	-37.71894816966699	10016.461069095454	395
351	-32.65534236686216	10019.493983473601	744
352	-116.83420572104703	10008.614826189936	468
353	-81.94525171209094	10008.401112681771	344
354	-68.23180183351054	10008.46257272338	195
355	-31.851989579546142	10017.008995367421	402
356	40.88003926426558	10034.212797234366	876
357	-34.29347071095327	10013.779373610476	508
358	-76.0900934210269	10008.899707231707	393
359	-99.32340207377817	10004.522014552706	178
360	1.6246517147219635	10025.16183068703	692
361	-40.04277833424049	10012.391891496003	551
362	-77.64373354980562	10005.114375716283	180
363	-9.752413453786062	10022.254513995053	527
364	-94.35106925688798	10009.492548168284	417
365	-31.671829336189504	10018.585838908592	527
366	-86.39888391396615	10004.234626866222	134
367	-83.52504768854817	10007.094727794585	231
368	-77.94516214765036	10006.079013779026	193
369	-48.26409317910607	10015.670795400329	329
370	-52.621004859130004	10012.665017005746	379
371	68.91311013586028	10045.261983463883	1242
372	-32.17449013816655	10017.569518057622	516
373	-70.66570861241513	10007.0137766673	240
374	-45.24084442780397	10017.559552417493	657
375	-87.48011892959099	10002.912840389703	147
376	31.629197578532427	10035.281864651779	807
377	-85.06048089061824	10004.081579122216	160
378	-86.469272942993	10004.028866166609	149
379	-83.59562832507017	10003.503788615675	159
380	-50.45737696812083	10020.354172266285	816
381	-112.51644512743944	31.38142757416273	2000
382	-57.376127000526395	10011.488948149772	283
383	-43.647164303663686	10018.187265741104	418
384	205.33544214112567	49.21523818770565	1225
385	-99.93650798555517	10002.70300057934	206
386	-18.436254683997788	10021.66439794732	477
387	-57.6279396562542	10012.042217907041	234
388	-126.67595339416039	10012.447470725527	635
389	-65.58952331345618	10009.569316163519	277
390	-66.53049160439006	10011.935912131024	199
391	-56.29645244951279	10013.37339405559	222
392	-15.44029640475506	10020.436342344208	490
393	-88.65327998992912	10002.952530574092	158
394	-56.3071765075593	10011.767128828544	341
395	-66.27579415958576	10012.085420840469	355
396	-63.594678518728976	10008.731853027186	220
