count	reward_sum	squared_reward_sum	length
347	229.35901854902113	81.07570475589117	723
348	229.8920673878718	81.41773043317389	723
349	227.62386761106194	79.90080980359382	735
350	229.5162090253283	78.77606277467463	744
351	229.45021780709635	82.58298860706589	709
352	230.1391277344247	82.30561338517415	721
353	229.6298458000237	80.84138468551821	721
354	229.64481454291797	81.5148139597591	718
355	228.2159958159996	79.28771598259783	741
356	229.34394125678958	81.29482843673001	717
357	229.7331679071032	79.74449105493102	735
358	229.26530065613665	78.01754297416265	755
359	230.89774582174536	79.33716278621537	737
360	229.89957196874573	78.48473516434663	750
361	230.51204429023818	78.07158231390609	754
362	230.48605943203168	79.12306557068493	739
363	230.03130134105234	79.38726980740006	744
364	229.77737573801772	78.37695972903097	747
365	231.24882428160603	79.4099696024895	739
366	230.97597715566664	82.51379548815424	713
367	229.8724849316471	80.69023774165038	720
368	228.31798230379437	80.22025615889322	729
369	228.9374023504722	78.34752304261214	750
370	230.87174723637403	82.98549784739653	709
371	229.13153651756946	80.1698492129588	729
372	229.31267799076295	79.45172184625352	741
373	-69.72339141382702	10008.082314107287	192
374	228.83797244699554	80.21950191882203	728
375	228.95171757094215	79.62797051682007	736
376	231.27329420077314	82.98549070853228	717
377	228.90027891823422	80.93606196003049	723
378	229.7769222058868	81.1071232438945	731
379	229.64535962794707	78.8449395642971	747
380	229.30152585788252	81.3019955139915	732
381	228.79351668265988	78.03403740096856	748
382	228.44686629102873	78.52496077985829	751
383	230.29399608967543	79.12106393331467	745
384	229.4129810295545	79.27037020055889	745
385	229.28024641484072	77.51270194746631	758
386	230.43558356183658	78.52262365825194	750
387	231.68265999359582	78.67157645032358	750
388	231.03994638620406	79.49111718050085	739
389	231.62053856244344	81.00458938356554	727
390	230.96846724747155	79.12743366358436	740
391	231.2651287378264	80.92775517281831	734
392	229.79632917919875	77.53829831168927	759
393	231.70102412801302	80.23018638514243	734
394	-73.3093023229228	10006.573599926445	178
395	231.93720132156298	78.24572987934711	750
396	-70.49448805941357	10008.35558788777	182
397	232.78509786478384	82.76210691265922	714
398	230.6467742498273	79.0615713961325	748
399	232.1909676381872	82.13422979349468	720
400	231.83990811043924	80.69419443568219	731
401	231.45764235670808	82.80389241927337	728
402	232.35164520158028	81.21321815433522	730
403	-40.0119846804333	10017.149692527008	269
404	232.38387072622368	79.57945953657234	740
405	233.38087798100818	81.03121301671837	729
406	232.14215378499034	81.12111412862498	735
407	66.70274463585679	10056.519266535048	568
408	234.08415680100003	83.8063339417624	712
409	231.98843174349062	80.22321535478433	737
410	233.23364314735065	79.3754918584781	748
411	234.35359617193654	84.31054606007294	705
412	233.178534480105	83.91904723623057	712
413	233.63600207073793	85.80381974106473	693
414	232.54095810419167	83.62443382975269	716
415	232.54531294952437	86.60613152530003	688
416	231.3232725658272	83.64199843694664	706
417	233.48093878378288	83.5109312301635	708
418	231.45262636392738	82.44570361362754	734
419	230.98074742890785	83.62509995026787	729
420	229.306448226681	82.11218641626004	731
421	232.25393360438235	85.94135352450154	688
422	230.1445077333053	81.25931561000527	720
423	232.00475595739672	80.46982968914394	741
424	231.96920578803426	79.85372025797695	741
425	232.0753686579544	82.3106756298091	720
426	232.11796645538686	82.69494811957755	726
427	232.4458846970504	84.16727993154308	710
428	232.49333844659643	83.8673892104895	708
429	-85.92643033457752	10003.276678400147	116
430	231.41629404933286	81.48993083094811	725
431	230.6016636113639	85.07626992421959	689
432	231.7636508871767	84.42290878247816	697
433	-1.8490941644051873	10030.821175143148	374
434	233.56622318625622	84.64569264353679	707
435	232.1531516847198	85.27894146926381	699
436	231.9487005201073	85.61240356028844	692
437	232.59863145725947	85.2878435839251	694
438	232.7299541214026	85.60781974530248	703
439	232.92022294720147	83.4166962471998	709
440	231.95139928207763	84.08680552292526	703
441	233.2971975987144	85.9944737023438	697
442	232.89176759715824	82.82377523971131	711
443	234.53811439728057	85.17098046851702	706
444	233.323954580733	84.00266819888093	711
445	232.69587013988914	83.56686093940047	711
446	232.05203115075966	83.8330757934969	712
447	232.56085996115567	85.56976587827226	693
448	231.83400505962103	84.82798239663087	697
449	231.9464260285974	82.26203037888968	718
450	232.67961990894625	87.72206005372617	685
451	232.60459471289832	85.18602744048346	703
452	233.60056981637845	86.12550681207875	693
453	234.3284992211118	85.54252663637457	707
454	233.5632098939535	84.38685435285281	707
455	232.4473936736144	86.08380905208756	685
